Team,Stadium,Years used,Capacity,Opened,Surface,Location,URL,lat,lon,Year_start,Year_end
Buffalo Bills,Bills Stadium ,1973–present,73079,1973,A-Turf Titan (2011–current) AstroPlay (2003–2010) AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf (1973–2002),"Orchard Park, New York url:https://en.wikipedia.org/wiki/Orchard_Park_(town),_New_York",https://en.wikipedia.org/wiki/Bills_Stadium,42.773999999999994,-78.78699999999999,1973,present
Buffalo Bills,Rogers Centre ,2008–2013 (1 game yearly),54000,1989,FieldTurf url:https://en.wikipedia.org/wiki/FieldTurf,Toronto url:https://en.wikipedia.org/wiki/Toronto,https://en.wikipedia.org/wiki/Rogers_Centre,43.64139,-79.38917,2008,2013 (1 game yearly)
Miami Dolphins,Hard Rock Stadium ,1987–present,65000,1987,Grass,"Miami Gardens, Florida url:https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",https://en.wikipedia.org/wiki/Hard_Rock_Stadium,25.95806,-80.23889,1987,present
New England Patriots (Boston Patriots),Gillette Stadium ,2002–present,66829,2002,FieldTurf (mid-2006–current) Grass (2002–mid-2006),"Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",https://en.wikipedia.org/wiki/Gillette_Stadium,42.091,-71.264,2002,present
New England Patriots (Boston Patriots),Foxboro Stadium ,1971–2001,60292,1971,Grass (1991–2001) AstroTurf (197x–1990) Poly-Turf url:https://en.wikipedia.org/wiki/Poly-Turf (1971–197x),"Foxborough, Massachusetts url:https://en.wikipedia.org/wiki/Foxborough,_Massachusetts",https://en.wikipedia.org/wiki/Foxboro_Stadium,42.0927,-71.2674417,1971,2001
New York Jets (New York Titans),MetLife Stadium ,2010–present,82500,2010,FieldTurf,"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",https://en.wikipedia.org/wiki/MetLife_Stadium,40.813528000000005,-74.074361,2010,present
New York Jets (New York Titans),Giants Stadium ,1984–2009,79469,1976,FieldTurf (2003–2010) Grass (2000–2002) AstroTurf (1976–1999),"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",https://en.wikipedia.org/wiki/Giants_Stadium,40.81222,-74.07694000000001,1984,2009
Baltimore Ravens,M&T Bank Stadium ,1998–present,71008,1998,Grass (2016–present) Sportexe Momentum Turf (2003–2015) Grass (1998–2002),Baltimore url:https://en.wikipedia.org/wiki/Baltimore,https://en.wikipedia.org/wiki/M%26T_Bank_Stadium,39.278059999999996,-76.62278,1998,present
Baltimore Ravens,Memorial Stadium ,1996–1997,53371,1950,Grass,Baltimore url:https://en.wikipedia.org/wiki/Baltimore,https://en.wikipedia.org/wiki/Memorial_Stadium_(Baltimore),39.329440000000005,-76.60139000000001,1996,1997
Cincinnati Bengals,Paul Brown Stadium ,2000–present,65515,2000,Field Turf (2003–present) Grass (2000–2002),Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,https://en.wikipedia.org/wiki/Paul_Brown_Stadium,39.095,-84.516,2000,present
Cincinnati Bengals,Cinergy Field ,1970–1999,59754,1970,AstroTurf,Cincinnati url:https://en.wikipedia.org/wiki/Cincinnati,https://en.wikipedia.org/wiki/Cinergy_Field,39.09667,-84.50833,1970,1999
Cleveland Browns,FirstEnergy Stadium ,1999–present,67895,1999,Grass,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",https://en.wikipedia.org/wiki/FirstEnergy_Stadium,41.50611,-81.69944,1999,present
Cleveland Browns,Cleveland Stadium ,1946–1995,74400,1932,Grass,"Cleveland, Ohio url:https://en.wikipedia.org/wiki/Cleveland",https://en.wikipedia.org/wiki/Cleveland_Stadium,41.50667,-81.69722,1946,1995
Pittsburgh Steelers (Pittsburgh Pirates),Heinz Field ,2001–present,68400,2001,Grass,Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,https://en.wikipedia.org/wiki/Heinz_Field,40.446670000000005,-80.01583000000001,2001,present
Pittsburgh Steelers (Pittsburgh Pirates),Three Rivers Stadium ,1970–2000,59000,1970,AstroTurf (1982–2000) Tartan Turf (1970–1981),Pittsburgh url:https://en.wikipedia.org/wiki/Pittsburgh,https://en.wikipedia.org/wiki/Three_Rivers_Stadium,40.446670000000005,-80.01278,1970,2000
Houston Texans,NRG Stadium ,2002–present,71500,2002,UBU Sports Speed Series S5-M (2016–present) Grass (2002–2015),"Houston, Texas url:https://en.wikipedia.org/wiki/Houston",https://en.wikipedia.org/wiki/NRG_Stadium,29.684720000000002,-95.41083,2002,present
Indianapolis Colts (Baltimore Colts),Lucas Oil Stadium ,2008–present,67000,2008,FieldTurf,Indianapolis url:https://en.wikipedia.org/wiki/Indianapolis,https://en.wikipedia.org/wiki/Lucas_Oil_Stadium,39.760056,-86.16380600000001,2008,present
Indianapolis Colts (Baltimore Colts),RCA Dome ,1984–2007,57980,1983,Field Turf (2005–2008) AstroTurf (1984–2004),Indianapolis url:https://en.wikipedia.org/wiki/Indianapolis,https://en.wikipedia.org/wiki/RCA_Dome,39.76361,-86.16333,1984,2007
Jacksonville Jaguars,TIAA Bank Field ,1995–present,67246,1995,Grass,"Jacksonville, Florida url:https://en.wikipedia.org/wiki/Jacksonville,_Florida",https://en.wikipedia.org/wiki/TIAA_Bank_Field,30.323890000000002,-81.6375,1995,present
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Nissan Stadium ,1999–present,67000,1999,Grass,"Nashville, Tennessee url:https://en.wikipedia.org/wiki/Nashville,_Tennessee",https://en.wikipedia.org/wiki/Nissan_Stadium,36.16639,-86.77139,1999,present
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Vanderbilt Stadium ,1998,41000,1922,AstroTurf,"Nashville, Tennessee url:https://en.wikipedia.org/wiki/Nashville,_Tennessee",https://en.wikipedia.org/wiki/Vanderbilt_Stadium,36.14417,-86.80889,1998,
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Liberty Bowl Memorial Stadium ,1997,62380,1965,Grass,"Memphis, Tennessee url:https://en.wikipedia.org/wiki/Memphis,_Tennessee",https://en.wikipedia.org/wiki/Liberty_Bowl_Memorial_Stadium,35.121109999999994,-89.9775,1997,
Tennessee Titans (Tennessee Oilers) (Houston Oilers),Reliant Astrodome ,1968–1996,62439,1965,AstroTurf url:https://en.wikipedia.org/wiki/AstroTurf,"Houston, Texas",https://en.wikipedia.org/wiki/Reliant_Astrodome,29.685,-95.40778,1968,1996
Denver Broncos,Empower Field at Mile High ,2001–present,76125,2001,Grass,"Denver, Colorado url:https://en.wikipedia.org/wiki/Denver",https://en.wikipedia.org/wiki/Empower_Field_at_Mile_High,39.74389,-105.02,2001,present
Denver Broncos,Mile High Stadium ,1960–2000,76273,1948,Grass,"Denver, Colorado url:https://en.wikipedia.org/wiki/Denver",https://en.wikipedia.org/wiki/Mile_High_Stadium,39.746109999999994,-105.02167,1960,2000
Kansas City Chiefs (Dallas Texans),Arrowhead Stadium ,1972–present,79409,1972,Grass (1994–present) Tartan Turf (1972–1993),"Kansas City, Missouri url:https://en.wikipedia.org/wiki/Kansas_City,_Missouri",https://en.wikipedia.org/wiki/Arrowhead_Stadium,39.04889,-94.48389,1972,present
Las Vegas Raiders (Oakland Raiders) (Los Angeles Raiders),Allegiant Stadium ,2020–present,65000,2020,Grass,"Paradise, Nevada url:https://en.wikipedia.org/wiki/Paradise,_Nevada",https://en.wikipedia.org/wiki/Allegiant_Stadium,36.09083,-115.18361000000002,2020,present
Las Vegas Raiders (Oakland Raiders) (Los Angeles Raiders),RingCentral Coliseum ,1995–2019 1966–1981,63146,1966,Grass,"Oakland, California url:https://en.wikipedia.org/wiki/Oakland,_California",https://en.wikipedia.org/wiki/RingCentral_Coliseum,37.751670000000004,-122.20056000000001,1995,2019 1966
Las Vegas Raiders (Oakland Raiders) (Los Angeles Raiders),Los Angeles Memorial Coliseum ,1982–1994,101574,1923,Grass,Los Angeles url:https://en.wikipedia.org/wiki/Los_Angeles,https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum,34.01417,-118.28778,1982,1994
Los Angeles Chargers (San Diego Chargers),SoFi Stadium ,2020–present,70000,2020,Artificial Turf,"Inglewood, California url:https://en.wikipedia.org/wiki/Inglewood,_California",https://en.wikipedia.org/wiki/SoFi_Stadium,33.95345,-118.3392,2020,present
Los Angeles Chargers (San Diego Chargers),Dignity Health Sports Park ,2017–2019,30000,2003,Grass,"Carson, California url:https://en.wikipedia.org/wiki/Carson,_California",https://en.wikipedia.org/wiki/Dignity_Health_Sports_Park,33.864000000000004,-118.26100000000001,2017,2019
Los Angeles Chargers (San Diego Chargers),SDCCU Stadium ,1967–2016,71294,1967,Grass,San Diego url:https://en.wikipedia.org/wiki/San_Diego,https://en.wikipedia.org/wiki/SDCCU_Stadium,32.78306,-117.11944,1967,2016
Dallas Cowboys,AT&T Stadium ,2009–present,"80,000–100,000",2009,Matrix artificial turf,"Arlington, Texas url:https://en.wikipedia.org/wiki/Arlington,_Texas",https://en.wikipedia.org/wiki/AT%26T_Stadium,32.74778,-97.09278,2009,present
Dallas Cowboys,Texas Stadium ,1971–2008,65675,1971,RealGrass (2001–2008) Tartan Turf (1971–1980) AstroTurf (1981–2000),"Irving, Texas url:https://en.wikipedia.org/wiki/Irving,_Texas",https://en.wikipedia.org/wiki/Texas_Stadium,32.84,-96.911,1971,2008
New York Giants,MetLife Stadium ,2010–present,82500,2010,Field Turf,"East Rutherford, New Jersey",https://en.wikipedia.org/wiki/MetLife_Stadium,40.813528000000005,-74.074361,2010,present
New York Giants,Giants Stadium ,1976–2009,79469,1976,Field Turf (2003–2009) Grass (2000–2002) AstroTurf (1976–1999),"East Rutherford, New Jersey",https://en.wikipedia.org/wiki/Giants_Stadium,40.81222,-74.07694000000001,1976,2009
Philadelphia Eagles,Lincoln Financial Field ,2003–present,68500,2003,Grass,Philadelphia url:https://en.wikipedia.org/wiki/Philadelphia,https://en.wikipedia.org/wiki/Lincoln_Financial_Field,39.90083,-75.1675,2003,present
Philadelphia Eagles,Veterans Stadium ,1971–2002,65386,1971,AstroTurf (1971–2000) NexTurf (2001–2002),Philadelphia url:https://en.wikipedia.org/wiki/Philadelphia,https://en.wikipedia.org/wiki/Veterans_Stadium,39.90667,-75.17111,1971,2002
Washington Football Team (Washington Redskins) (Boston Redskins) (Boston Braves),FedExField ,1997–present,82000,1997,Grass,"Landover, Maryland url:https://en.wikipedia.org/wiki/Landover,_Maryland",https://en.wikipedia.org/wiki/FedExField,38.907779999999995,-76.86444,1997,present
Washington Football Team (Washington Redskins) (Boston Redskins) (Boston Braves),RFK Stadium ,1961–1996,55672,1961,Grass,"Washington, D.C.",https://en.wikipedia.org/wiki/Robert_F._Kennedy_Memorial_Stadium,38.89,-76.972,1961,1996
Chicago Bears (Chicago Staleys) (Decatur Staleys),Soldier Field ,2003–present,63000,1924,Grass,Chicago url:https://en.wikipedia.org/wiki/Chicago,https://en.wikipedia.org/wiki/Soldier_Field,41.8623,-87.6167,2003,present
Chicago Bears (Chicago Staleys) (Decatur Staleys),Memorial Stadium ,2002,69249,1923,AstroPlay,"Champaign, Illinois url:https://en.wikipedia.org/wiki/Champaign,_Illinois",https://en.wikipedia.org/wiki/Memorial_Stadium_(Champaign),40.09917,-88.23583,2002,
Chicago Bears (Chicago Staleys) (Decatur Staleys),Soldier Field ,1971–2001,61500,1924,Grass (1988–2001) AstroTurf (1971–1987),"Chicago, Illinois",https://en.wikipedia.org/wiki/Soldier_Field,41.8623,-87.6167,1971,2001
Detroit Lions (Portsmouth Spartans),Ford Field ,2002–present,65000,2002,Field Turf,Detroit url:https://en.wikipedia.org/wiki/Detroit,https://en.wikipedia.org/wiki/Ford_Field,42.34,-83.04556,2002,present
Detroit Lions (Portsmouth Spartans),Pontiac Silverdome ,1975–2001,80311,1975,AstroTurf,"Pontiac, Michigan url:https://en.wikipedia.org/wiki/Pontiac,_Michigan",https://en.wikipedia.org/wiki/Pontiac_Silverdome,42.64583,-83.255,1975,2001
Green Bay Packers,Lambeau Field ,1957–present,81435,1957,Grass,"Green Bay, Wisconsin url:https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin",https://en.wikipedia.org/wiki/Lambeau_Field,44.50139,-88.06222,1957,present
Green Bay Packers,Milwaukee County Stadium ,1953–1994 (2–4 games yearly),53192,1953,Grass,Milwaukee url:https://en.wikipedia.org/wiki/Milwaukee,https://en.wikipedia.org/wiki/Milwaukee_County_Stadium,43.03,-87.97399999999999,1953,1994 (2
Minnesota Vikings,U.S. Bank Stadium ,2016–present,65400,2016,UBU Sports Speed Series S5-M,Minneapolis url:https://en.wikipedia.org/wiki/Minneapolis,https://en.wikipedia.org/wiki/U.S._Bank_Stadium,44.974,-93.258,2016,present
Minnesota Vikings,TCF Bank Stadium ,2014–2015,50805,2009,FieldTurf url:https://en.wikipedia.org/wiki/FieldTurf,Minneapolis url:https://en.wikipedia.org/wiki/Minneapolis,https://en.wikipedia.org/wiki/TCF_Bank_Stadium,44.976000000000006,-93.225,2014,2015
Minnesota Vikings,Mall of America Field at the Hubert H. Humphrey Metrodome ,1982–2013,64035,1982,UBU-Intensity Series-S5-M Synthetic Turf (2011–2013) Sportexe Momentum Turf (2010) Field Turf (2004–2009) AstroTurf (1987–2003) Superturf (1982–1986),Minneapolis url:https://en.wikipedia.org/wiki/Minneapolis,https://en.wikipedia.org/wiki/Hubert_H._Humphrey_Metrodome,44.973890000000004,-93.25806,1982,2013
Atlanta Falcons,Mercedes-Benz Stadium ,2017–present,71000,2017,Artificial turf (2017–present),Atlanta url:https://en.wikipedia.org/wiki/Atlanta,https://en.wikipedia.org/wiki/Mercedes-Benz_Stadium,33.755559999999996,-84.4,2017,present
Atlanta Falcons,Georgia Dome ,1992–2016,71149,1992,Field Turf (2003–2016) AstroTurf (1992–2002),Atlanta url:https://en.wikipedia.org/wiki/Atlanta,https://en.wikipedia.org/wiki/Georgia_Dome,33.758,-84.40100000000001,1992,2016
Carolina Panthers,Bank of America Stadium ,1996–present,73779,1996,Grass,"Charlotte, North Carolina url:https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",https://en.wikipedia.org/wiki/Bank_of_America_Stadium,35.22583,-80.85278000000001,1996,present
Carolina Panthers,Frank Howard Field at Memorial Stadium ,1995,80301,1942,Grass,"Clemson, South Carolina url:https://en.wikipedia.org/wiki/Clemson,_South_Carolina",https://en.wikipedia.org/wiki/Memorial_Stadium_(Clemson),34.67861,-82.84306,1995,
New Orleans Saints,Mercedes-Benz Superdome ,2006–present 1975–2004,76468,1975,Sportexe Momentum Turf (2006–present) AstroPlay (2003–2004) AstroTurf (1975–2003),New Orleans url:https://en.wikipedia.org/wiki/New_Orleans,https://en.wikipedia.org/wiki/Mercedes-Benz_Superdome,29.95083,-90.08111,2006,present 1975
New Orleans Saints,Tiger Stadium ,Four games in 2005,92400,1924,Grass,"Baton Rouge, Louisiana url:https://en.wikipedia.org/wiki/Baton_Rouge,_Louisiana",https://en.wikipedia.org/wiki/Tiger_Stadium_(LSU),30.41194,-91.18556,Four games in 2005,
New Orleans Saints,Alamodome ,Three games in 2005,65000,1993,SportField,"San Antonio, Texas url:https://en.wikipedia.org/wiki/San_Antonio",https://en.wikipedia.org/wiki/Alamodome,29.416940000000004,-98.47889,Three games in 2005,
New Orleans Saints,Giants Stadium ,One game in 2005,79469,1976,FieldTurf,"East Rutherford, New Jersey url:https://en.wikipedia.org/wiki/East_Rutherford,_New_Jersey",https://en.wikipedia.org/wiki/Giants_Stadium,40.81222,-74.07694000000001,One game in 2005,
Tampa Bay Buccaneers,Raymond James Stadium ,1998–present,65657,1998,Grass,"Tampa, Florida url:https://en.wikipedia.org/wiki/Tampa,_Florida",https://en.wikipedia.org/wiki/Raymond_James_Stadium,27.97583,-82.50333,1998,present
Tampa Bay Buccaneers,Houlihan's Stadium ,1976–1997,74301,1976,Grass,"Tampa, Florida url:https://en.wikipedia.org/wiki/Tampa,_Florida",https://en.wikipedia.org/wiki/Houlihan%27s_Stadium,27.978890000000003,-82.50361,1976,1997
Arizona Cardinals (Phoenix Cardinals) (St. Louis Cardinals) (Chicago Cardinals) (Racine Cardinals) (Racine Normals) (Morgan Athletic Club),State Farm Stadium ,2006–present,63000,2006,Grass,"Glendale, Arizona url:https://en.wikipedia.org/wiki/Glendale,_Arizona",https://en.wikipedia.org/wiki/State_Farm_Stadium,33.528,-112.26299999999999,2006,present
Arizona Cardinals (Phoenix Cardinals) (St. Louis Cardinals) (Chicago Cardinals) (Racine Cardinals) (Racine Normals) (Morgan Athletic Club),Sun Devil Stadium ,1988–2005,73379,1958,Grass,"Tempe, Arizona url:https://en.wikipedia.org/wiki/Tempe,_Arizona",https://en.wikipedia.org/wiki/Sun_Devil_Stadium,33.426390000000005,-111.9325,1988,2005
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),SoFi Stadium ,2020–present,70000,2020,Artificial Turf,"Inglewood, California url:https://en.wikipedia.org/wiki/Inglewood,_California",https://en.wikipedia.org/wiki/SoFi_Stadium,33.95345,-118.3392,2020,present
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Los Angeles Memorial Coliseum ,2016–2019 1946–1979,93607,1923,Grass,"Los Angeles, California",https://en.wikipedia.org/wiki/Los_Angeles_Memorial_Coliseum,34.01417,-118.28778,2016,2019 1946
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Edward Jones Dome ,1995–2015,66000,1995,AstroTurf (2005–present) FieldTurf (2005–2010) AstroTurf (1995–2004),"St. Louis, Missouri",https://en.wikipedia.org/wiki/The_Dome_at_America%27s_Center,38.63278,-90.18861,1995,2015
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Busch Stadium (II) ,1995,49676,1966,AstroTurf,"St. Louis, Missouri",https://en.wikipedia.org/wiki/Busch_Memorial_Stadium,38.62389,-90.1925,1995,
Los Angeles Rams (St. Louis Rams) (Cleveland Rams),Anaheim Stadium ,1980–1994,64593,1966,Grass,"Anaheim, California url:https://en.wikipedia.org/wiki/Anaheim,_California",https://en.wikipedia.org/wiki/Anaheim_Stadium,33.80028,-117.88278000000001,1980,1994
San Francisco 49ers,Levi's Stadium ,2014–present,68983,2014,Grass,"Santa Clara, California url:https://en.wikipedia.org/wiki/Santa_Clara,_California",https://en.wikipedia.org/wiki/Levi%27s_Stadium,37.403,-121.97,2014,present
San Francisco 49ers,Candlestick Park ,1971–2013,64450,1960,Grass (1979–present) AstroTurf (1971–1978),"San Francisco, California",https://en.wikipedia.org/wiki/Candlestick_Park,37.713609999999996,-122.38611000000002,1971,2013
Seattle Seahawks,CenturyLink Field ,2002–present,68000,2002,Field Turf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/CenturyLink_Field,47.5952,-122.3316,2002,present
Seattle Seahawks,Husky Stadium ,2000–2001 Three games in 1994,72500,1920,Field Turf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/Husky_Stadium,47.65028,-122.30167,2000,2001 Three games in 1994
Seattle Seahawks,Kingdome ,1976–1999,66000,1976,AstroTurf,Seattle url:https://en.wikipedia.org/wiki/Seattle,https://en.wikipedia.org/wiki/Kingdome,47.595279999999995,-122.33138999999998,1976,1999
